lattice_constant_A,energy_per_particle_K,stderr_K,acceptance,samples
4.4,0.4401343301564502,17.210408581610658,0.5645833333333333,40
4.45,-9.303738059565966,14.03461642704876,0.559375,40
4.5,-3.813457867608748,17.323226027819427,0.5729166666666666,40
4.55,-17.58819432999804,10.973240413642175,0.5291666666666667,40
4.6,-22.91222392550545,9.511286079202016,0.5458333333333333,40
4.65,-26.610670273117083,5.899202409444978,0.5302083333333333,40
4.7,-25.763477104336864,6.64211075103092,0.5427083333333333,40
4.75,-26.07358250050958,8.91591583632836,0.5552083333333333,40
4.8,-29.778132002917758,4.698335903853283,0.5489583333333333,40
4.85,-27.516882908367577,6.7682831402801025,0.559375,40
4.9,-28.402870326639004,4.813812718373087,0.540625,40
4.95,-30.785238341723222,2.920771736114224,0.5229166666666667,40
5.0,-25.42282245635295,4.9434557738878935,0.6229166666666667,40
5.05,-29.5909839015565,2.1124053869511243,0.540625,40
5.1,-28.51052175546058,2.041034760778837,0.5208333333333334,40
5.15,-28.7086359784847,0.885884179427391,0.540625,40
5.2,-27.38075409637257,1.025206388410858,0.5833333333333334,40
5.25,-26.603764844854616,0.8356562268217135,0.5645833333333333,40
5.3,-25.717759485620363,0.6654415917206986,0.5583333333333333,40
5.35,-24.75730906202766,0.5247091529019698,0.559375,40
5.4,-23.805568530124965,0.35103307498030567,0.5510416666666667,40
5.45,-22.899788342388767,0.2198403847540806,0.5729166666666666,40
5.5,-21.835842563009948,0.3120490062895911,0.5614583333333333,40
5.55,-21.09546113837709,0.009705392409667724,0.5489583333333333,40
5.6,-20.272911984988085,0.12467821770554366,0.5427083333333333,40
5.65,-19.271389376422828,0.02099057858075426,0.5572916666666666,40
5.7,-18.526711094939273,0.11532596640649473,0.5854166666666667,40
5.75,-17.635306815396866,0.18493105489586625,0.5479166666666667,40
5.8,-16.85430494922356,0.23424549382806067,0.58125,40
5.85,-16.177268732769434,0.23859055654154912,0.5958333333333333,40
5.9,-15.322257667233249,0.28239801001969494,0.54375,40
5.95,-14.701090963463017,0.2618787631567682,0.61875,40
6.0,-14.043570969144927,0.3023933731854109,0.5729166666666666,40
